postcode,oa11cd,lsoa11cd,msoa11cd,msoa11hclnm,wd19cd,wd19nm,lon,lat
M160FW,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.275414,53.451172
M160FX,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.282247,53.450653
M160FY,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.281593,53.449737
M160FZ,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.282227,53.449969
M160GA,E00030953,E01006114,E02001262,Firswood,E05000832,Longford,-2.276964,53.450979
M160GB,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.275496,53.454514
M160GD,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.286292,53.458795
M160GE,E00030949,E01006114,E02001262,Firswood,E05000832,Longford,-2.275805,53.45331
M160GF,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.280418,53.449641
M160GG,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.284375,53.449146
M160GH,E00031116,E01006146,E02001262,Firswood,E05000832,Longford,-2.28079,53.453505
M160GJ,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.279786,53.451926
M160GL,E00031370,E01006188,E02001259,Old Trafford,E05000825,Clifford,-2.281866,53.463543
M160GN,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160GP,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.286857,53.45999
M160GQ,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.283372,53.452259
M160GR,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.281652,53.453979
M160GS,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.284835,53.459454
M160GT,E00031368,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.286128,53.461304
M160GU,E00031368,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.287757,53.461668
M160GW,E00031368,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.287227,53.46121
M160GX,E00031374,E01006186,E02001261,Gorse Hill,E05000829,Gorse Hill,-2.287628,53.460401
M160GY,E00031368,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.285895,53.460208
M160GZ,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.28467,53.454952
M160HA,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.283745,53.449427
M160HB,E00031125,E01006146,E02001262,Firswood,E05000832,Longford,-2.285176,53.449603
M160HD,E00031120,E01006146,E02001262,Firswood,E05000832,Longford,-2.285457,53.451004
M160HE,E00031120,E01006146,E02001262,Firswood,E05000832,Longford,-2.285264,53.451436
M160HF,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.285122,53.452677
M160HG,E00031112,E01006145,E02001262,Firswood,E05000832,Longford,-2.285031,53.454853
M160HH,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.285395,53.453009
M160HJ,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277066,53.452813
M160HL,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160HN,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160HP,E00031370,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.278607,53.462679
M160HQ,E00031374,E01006186,E02001261,Gorse Hill,E05000832,Longford,-2.283606,53.460186
M160HR,E00031116,E01006146,E02001262,Firswood,E05000832,Longford,-2.279249,53.452664
M160HS,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.28074,53.452705
M160HT,E00031124,E01006146,E02001262,Firswood,E05000832,Longford,-2.2811,53.452561
M160HU,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.281641,53.452335
M160HW,E00030973,E01006110,E02001259,Old Trafford,E05000825,Clifford,-2.262773,53.457321
M160HX,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.282153,53.452414
M160HY,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.282544,53.452216
M160HZ,E00031121,E01006146,E02001262,Firswood,E05000832,Longford,-2.284124,53.452176
M160JA,E00031120,E01006146,E02001262,Firswood,E05000832,Longford,-2.284391,53.451591
M160JB,E00031120,E01006146,E02001262,Firswood,E05000832,Longford,-2.284736,53.45133
M160JD,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.283633,53.453058
M160JE,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.284132,53.453345
M160JF,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.285173,53.453603
M160JG,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.281941,53.454464
M160JH,E00031113,E01006145,E02001262,Firswood,E05000832,Longford,-2.285325,53.453818
M160JJ,E00031370,E01006188,E02001259,Old Trafford,E05000825,Clifford,-2.277315,53.46563
M160JL,E00030948,E01006114,E02001262,Firswood,E05000832,Longford,-2.277081,53.452804
M160JN,E00031113,E01006145,E02001262,Firswood,E05000832,Longford,-2.28545,53.454492
M160JP,E00031113,E01006145,E02001262,Firswood,E05000832,Longford,-2.286652,53.454067
M160JQ,E00031116,E01006146,E02001262,Firswood,E05000832,Longford,-2.280912,53.45373
M160JR,E00031112,E01006145,E02001262,Firswood,E05000832,Longford,-2.28667,53.454534
M160JS,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.28458,53.455015
M160JT,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.283887,53.455035
M160JU,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.28458,53.455015
M160JW,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.284071,53.45543
M160JX,E00031376,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.27558,53.46043
M160JY,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.283171,53.455963
M160JZ,E00031118,E01006145,E02001262,Firswood,E05000832,Longford,-2.283812,53.455053
M160LA,E00031110,E01006145,E02001262,Firswood,E05000832,Longford,-2.277074,53.458628
M160LB,E00030977,E01006114,E02001262,Firswood,E05000832,Longford,-2.278518,53.45609
M160LD,E00031376,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.27466,53.457995
M160LE,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.276446,53.459411
M160LF,E00030977,E01006114,E02001262,Firswood,E05000832,Longford,-2.27652,53.456742
M160LG,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.275831,53.457364
M160LH,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.27673,53.46129
M160LJ,E00031376,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.275641,53.460663
M160LL,E00031376,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.27558,53.46043
M160LN,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.276328,53.459655
M160LP,E00031137,E01006145,E02001262,Firswood,E05000832,Longford,-2.277053,53.459959
M160LQ,E00031376,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.274679,53.458634000000004
M160LR,E00031370,E01006188,E02001259,Old Trafford,E05000832,Longford,-2.276006,53.461175
M160LS,E00030977,E01006114,E02001262,Firswood,E05000832,Longford,-2.276764,53.455007
M160LT,E00030974,E01006114,E02001262,Firswood,E05000832,Longford,-2.276084,53.456887
M160LU,E00030974,E01006114,E02001262,Firswood,E05000832,Longford,-2.277166,53.456561
